Timestamp,Event_Type,Side,Signal_State,Total_Vehicles,Cars,Trucks,Motorcycles,Emergency,Duration,Reason
2026-01-30 19:35:49,VEHICLE_COUNT,SOUTH,,3,2,1,0,False,,
2026-01-30 19:35:50,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:35:50,VEHICLE_COUNT,WEST,,5,4,1,0,False,,
2026-01-30 19:35:54,SIGNAL_CHANGE,SOUTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:35:55,VEHICLE_COUNT,SOUTH,,7,4,3,0,True,,
2026-01-30 19:35:56,VEHICLE_COUNT,EAST,,3,2,1,0,False,,
2026-01-30 19:35:56,VEHICLE_COUNT,WEST,,8,4,4,0,False,,
2026-01-30 19:35:56,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:36:01,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:36:02,VEHICLE_COUNT,WEST,,4,4,0,0,True,,
2026-01-30 19:36:02,SIGNAL_CHANGE,SOUTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:36:04,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:36:07,VEHICLE_COUNT,SOUTH,,5,4,1,0,False,,
2026-01-30 19:36:08,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:36:08,VEHICLE_COUNT,WEST,,7,5,2,0,False,,
2026-01-30 19:36:13,VEHICLE_COUNT,SOUTH,,4,4,0,0,False,,
2026-01-30 19:36:14,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:36:14,VEHICLE_COUNT,WEST,,9,6,3,0,False,,
2026-01-30 19:36:20,VEHICLE_COUNT,SOUTH,,7,5,2,0,False,,
2026-01-30 19:36:20,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:36:21,VEHICLE_COUNT,WEST,,9,5,4,0,False,,
2026-01-30 19:36:26,VEHICLE_COUNT,EAST,,0,0,0,0,False,,
2026-01-30 19:36:27,VEHICLE_COUNT,WEST,,7,5,2,0,False,,
2026-01-30 19:36:32,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:36:32,VEHICLE_COUNT,WEST,,11,8,3,0,False,,
2026-01-30 19:36:38,VEHICLE_COUNT,EAST,,0,0,0,0,True,,
2026-01-30 19:36:38,VEHICLE_COUNT,WEST,,9,6,3,0,False,,
2026-01-30 19:36:43,VEHICLE_COUNT,SOUTH,,6,4,2,0,True,,
2026-01-30 19:36:44,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:36:44,VEHICLE_COUNT,WEST,,4,3,1,0,False,,
2026-01-30 19:36:49,VEHICLE_COUNT,EAST,,0,0,0,0,False,,
2026-01-30 19:36:50,VEHICLE_COUNT,WEST,,5,2,3,0,False,,
2026-01-30 19:36:50,SIGNAL_CHANGE,EAST,GREEN,,,,,False,45.9,Maximum time reached
2026-01-30 19:36:52,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:36:55,VEHICLE_COUNT,SOUTH,,5,4,1,0,False,,
2026-01-30 19:36:55,VEHICLE_COUNT,EAST,,0,0,0,0,True,,
2026-01-30 19:36:56,VEHICLE_COUNT,WEST,,9,6,3,0,False,,
2026-01-30 19:37:01,VEHICLE_COUNT,SOUTH,,4,4,0,0,False,,
2026-01-30 19:37:01,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:37:02,VEHICLE_COUNT,WEST,,6,4,2,0,False,,
2026-01-30 19:37:08,VEHICLE_COUNT,EAST,,4,4,0,0,False,,
2026-01-30 19:37:08,VEHICLE_COUNT,WEST,,8,5,3,0,False,,
2026-01-30 19:37:13,VEHICLE_COUNT,SOUTH,,6,5,1,0,False,,
